item_id,title,author,year,editions,subjects,image_url
book-/works/OL93082W,La Divina Commedia,Dante Alighieri,1472,1339,Poetry (Poetic Works By One Author)|Literatura|Portraits|Paradise|Poetry|Hell|Purgatory|Illustrations|Italian Poetry|Medieval Literature,https://covers.openlibrary.org/b/id/11621024-L.jpg
book-/works/OL61981W,Ἰλιάς,Όμηρος,1505,1084,Odysseus (Greek Mythology)|Greeks|Poetry|Classical Literature|Poesía|Open Library Staff Picks|Greek Epic Poetry|Hector (Legendary Character)|Textual Criticism|Achilles (Greek Mythology),https://covers.openlibrary.org/b/id/7083790-L.jpg
book-/works/OL61982W,Ὀδύσσεια,Όμηρος,1488,1064,Great_Books_Of_The_Western_World|Poetry|Fiction|Classical Literature|Open Library Staff Picks|Juvenile Literature|Horses|Diseases|Greek Mythology|Great_Books,https://covers.openlibrary.org/b/id/9045853-L.jpg
book-/works/OL97727W,Metamorfosi,Ovid,1474,747,Poetry|Mythology|Metamorphosis|Latin Fables|Classical Mythology|Translations Into Italian|Poesia Lirica Latina|Translations Into English|Latin Epistolary Poetry|Women,https://covers.openlibrary.org/b/id/5701612-L.jpg
book-/works/OL47087W,Aeneis,Publius Vergilius Maro,1592,721,Classical Literature|History And Criticism|Latin Epic Poetry|Rome In Literature|Virgil. Aeneis|Legends|Latin Didactic Poetry|Country Life|Agriculture|Translations Into English,https://covers.openlibrary.org/b/id/5273998-L.jpg
book-/works/OL362706W,Sonnets,William Shakespeare,1609,646,English Sonnets|History And Criticism|Bibliography|Translations Into Yiddish|Translations Into German|English Narrative Poetry|Spurious And Doubtful Works|Translations Into Arabic|Translations Into Lithuanian|Translations Into French,https://covers.openlibrary.org/b/id/8222090-L.jpg
book-/works/OL52456W,Faust,Johann Wolfgang von Goethe,1800,633,Good And Evil|Drama|Redemption|Devil|German Drama|Translations Into English|English Drama|Translations From German|Illustrations|Magicians,https://covers.openlibrary.org/b/id/6499459-L.jpg
book-/works/OL318900W,The Prophet,Kahlil Gibran,1900,569,Poetry|Classics|Literature & Fiction|Religion|American Prose Poems|Mysticism|Spiritual Life,https://covers.openlibrary.org/b/id/418324-L.jpg
book-/works/OL15292640W,Metamorphoses,Ovid,1479,501,Poetry|Classical Mythology|Metamorphosis|Mythology|Latin Fables|Translations Into English|Translations Into Italian|Translations Into French|Latin Literature|Latin Love Poetry,https://covers.openlibrary.org/b/id/7212118-L.jpg
book-/works/OL30056W,Flower Fables,Louisa May Alcott,1854,448,Fairy Tales|Fairies|Flowers|Literary Collections|Poetry|Fiction|Short Stories|Classic Literature|Conduct Of Life|Juvenile Literature,https://covers.openlibrary.org/b/id/755980-L.jpg
book-/works/OL93227W,Inferno,Dante Alighieri,1767,446,Poetry|Hell|Illustrations|Iconography|Translations Into English|Pictorial Works|Italian Literature|Bibliography|Knowledge|Genealogy,https://covers.openlibrary.org/b/id/6387077-L.jpg
