item_id,season,date,away,home,away_score,home_score,away_logo,home_logo,final_margin,overtime_periods,lead_changes,winner_came_from_behind,max_abs_lead,is_playoff
nba-401585007,2024,2023-12-22 01:00:00+00:00,LAC,OKC,115,134,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,19,0,0,0,19,0
nba-401585008,2024,2023-12-22 02:00:00+00:00,LAL,MIN,111,118,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,7,0,0,0,7,0
nba-401585009,2024,2023-12-22 03:00:00+00:00,WSH,POR,118,117,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,1,0,0,0,13,0
nba-401544973,2023,2023-04-30 17:00:00+00:00,MIA,NY,108,101,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,7,0,1,0,11,1
nba-401541236,2023,2023-04-30 19:30:00+00:00,GS,SAC,120,100,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,20,0,1,0,20,1
nba-401468621,2023,2022-12-22 00:00:00+00:00,MIL,CLE,106,114,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,8,0,0,0,18,0
nba-401468622,2023,2022-12-22 00:00:00+00:00,DET,PHI,93,113,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,20,0,0,0,20,0
nba-401468623,2023,2022-12-22 00:30:00+00:00,CHI,ATL,110,108,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,2,0,0,0,10,0
nba-401468624,2023,2022-12-22 00:30:00+00:00,IND,BOS,117,112,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,5,0,0,0,28,0
nba-401468625,2023,2022-12-22 00:30:00+00:00,GS,BKN,113,143,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,30,0,0,0,40,0
nba-401468626,2023,2022-12-22 00:30:00+00:00,TOR,NY,113,106,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,7,0,0,0,10,0
nba-401468627,2023,2022-12-22 01:00:00+00:00,ORL,HOU,116,110,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,6,0,1,1,10,0
nba-401468628,2023,2022-12-22 01:00:00+00:00,DAL,MIN,104,99,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,5,0,1,0,5,0
nba-401468629,2023,2022-12-22 01:00:00+00:00,POR,OKC,98,101,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,3,0,1,0,10,0
nba-401468630,2023,2022-12-22 03:00:00+00:00,LAL,SAC,120,134,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,14,0,1,0,20,0
nba-401468631,2023,2022-12-22 03:30:00+00:00,CHA,LAC,105,126,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,21,0,0,0,31,0
nba-401585460,2024,2024-02-28 00:00:00+00:00,DAL,CLE,119,121,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,2,0,1,0,4,0
nba-401585461,2024,2024-02-28 00:00:00+00:00,BKN,ORL,81,108,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,27,0,0,0,29,0
nba-401585462,2024,2024-02-28 00:00:00+00:00,GS,WSH,123,112,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,11,0,1,0,23,0
nba-401585463,2024,2024-02-28 00:30:00+00:00,UTAH,ATL,97,124,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,27,0,0,0,27,0
nba-401585464,2024,2024-02-28 00:30:00+00:00,PHI,BOS,99,117,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,18,0,0,0,18,0
nba-401585465,2024,2024-02-28 00:30:00+00:00,NO,NY,115,92,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,23,0,0,0,23,0
nba-401585466,2024,2024-02-28 01:00:00+00:00,SA,MIN,105,114,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,9,0,0,0,18,0
nba-401585467,2024,2024-02-28 01:00:00+00:00,DET,CHI,105,95,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,10,0,1,0,10,0
nba-401585468,2024,2024-02-28 01:00:00+00:00,CHA,MIL,85,123,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,38,0,0,0,47,0
nba-401585469,2024,2024-02-28 03:00:00+00:00,HOU,OKC,95,112,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,17,0,1,0,17,0
nba-401585470,2024,2024-02-28 03:00:00+00:00,MIA,POR,106,96,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,10,0,1,0,13,0
nba-401468875,2023,2023-01-26 00:00:00+00:00,IND,ORL,120,126,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,6,0,0,0,17,0
nba-401468876,2023,2023-01-26 00:30:00+00:00,BKN,PHI,133,137,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,4,0,0,0,10,0
nba-401468877,2023,2023-01-26 01:00:00+00:00,WSH,HOU,108,103,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,5,0,1,1,15,0
nba-401468878,2023,2023-01-26 01:00:00+00:00,DEN,MIL,99,107,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,8,0,1,0,8,0
nba-401468879,2023,2023-01-26 01:00:00+00:00,MIN,NO,111,102,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,9,0,1,0,12,0
nba-401468880,2023,2023-01-26 01:00:00+00:00,ATL,OKC,137,132,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,5,0,1,0,5,0
nba-401468881,2023,2023-01-26 03:00:00+00:00,MEM,GS,120,122,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2,0,2,1,6,0
nba-401468882,2023,2023-01-26 03:00:00+00:00,UTAH,POR,124,134,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,10,0,1,0,12,0
nba-401468883,2023,2023-01-26 03:00:00+00:00,TOR,SAC,113,95,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,18,0,0,0,18,0
nba-401468884,2023,2023-01-26 03:30:00+00:00,SA,LAL,104,113,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,9,0,1,1,9,0
nba-401360327,2022,2021-12-29 00:00:00+00:00,MIL,ORL,127,110,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,17,0,0,0,27,0
nba-401360328,2022,2021-12-29 00:30:00+00:00,WSH,MIA,112,119,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,7,0,0,0,18,0
nba-401360329,2022,2021-12-29 00:30:00+00:00,PHI,TOR,114,109,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,5,0,0,0,7,0
nba-401360330,2022,2021-12-29 01:00:00+00:00,LAL,HOU,132,123,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,9,0,1,0,9,0
