item_id,season,round,event_name,country,date,n_classified,n_dnf,winner_margin_s,total_positions_moved,max_gain,podium_from_outside_top5,winner_grid
f1-2026-02,2026,2,Chinese Grand Prix,China,2026-03-15,15,7,5.515,84,8,0,1
f1-2026-03,2026,3,Japanese Grand Prix,Japan,2026-03-29,20,2,13.722,44,5,0,1
f1-2026-04,2026,4,Miami Grand Prix,United States,2026-05-03,18,4,3.2640000000000002,76,9,1,1
f1-2026-05,2026,5,Canadian Grand Prix,Canada,2026-05-24,16,6,10.768,116,7,1,2
f1-2026-06,2026,6,Monaco Grand Prix,Monaco,2026-06-07,15,7,6.271,112,11,1,1
f1-2026-07,2026,7,Barcelona Grand Prix,Spain,2026-06-14,15,7,19.561,68,7,0,2
f1-2026-08,2026,8,Austrian Grand Prix,Austria,2026-06-28,18,4,1.611,40,3,0,1
f1-2026-09,2026,9,British Grand Prix,United Kingdom,2026-07-05,19,3,0.427,96,10,0,2
f1-2026-10,2026,10,Belgian Grand Prix,Belgium,2026-07-19,19,3,1.952,64,15,0,1
f1-2026-11,2026,11,Hungarian Grand Prix,Hungary,2026-07-26,19,3,15.08,54,7,1,1
